Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4511,Overwatch,PC,Shooter,Activision,0.22,0.18,0,0.04,0.43
5106,Tom Clancy's The Division,PC,Shooter,Ubisoft,0.2,0.14,0,0.03,0.37
6089,World of Warcraft: Legion,PC,Role-Playing,Activision,0.14,0.12,0,0.02,0.29
7566,XCOM 2,PC,Strategy,Take-Two Interactive,0.09,0.1,0,0.02,0.2
8140,Doom (2016),PC,Shooter,Bethesda Softworks,0.06,0.1,0,0.01,0.18
9252,Far Cry: Primal,PC,Action,Ubisoft,0.04,0.09,0,0.01,0.14
10593,Total War: WARHAMMER,PC,Strategy,Sega,0,0.1,0,0.01,0.1
10733,Rise of the Tomb Raider,PC,Adventure,Square Enix,0,0.09,0,0.01,0.1
12007,Battleborn,PC,Shooter,Take-Two Interactive,0.03,0.03,0,0.01,0.07
12901,Dark Souls III,PC,Role-Playing,Namco Bandai Games,0,0.05,0,0,0.05
12940,FIFA 17,PC,Sports,Electronic Arts,0,0.05,0,0,0.05
13046,Street Fighter V,PC,Fighting,Capcom,0,0.05,0,0,0.05
13102,Mirror's Edge Catalyst,PC,Platform,Electronic Arts,0.01,0.03,0,0.01,0.05
13438,Plants vs. Zombies: Garden Warfare 2,PC,Shooter,Electronic Arts,0,0.04,0,0,0.05
13564,Life is Strange,PC,Adventure,Square Enix,0.01,0.03,0,0,0.04
14386,Hearts of Iron IV,PC,Strategy,Paradox Interactive,0,0.03,0,0,0.03
14533,Need for Speed (2015),PC,Racing,Electronic Arts,0,0.03,0,0,0.03
14558,Pro Cycling Manager 2016,PC,Sports,Focus Home Interactive,0,0.03,0,0,0.03
14638,Stellaris,PC,Strategy,Paradox Interactive,0,0.03,0,0,0.03
14758,DiRT Rally,PC,Racing,Codemasters,0,0.03,0,0,0.03
14969,Bus Simulator 16,PC,Simulation,Astragon,0,0.02,0,0,0.02
15153,Rocket League,PC,Sports,505 Games,0.01,0.01,0,0,0.02
15303,F1 2016 (Codemasters),PC,Racing,Codemasters,0,0.02,0,0,0.02
15342,Homefront: The Revolution,PC,Shooter,Deep Silver,0,0.02,0,0,0.02
15412,Deus Ex: Mankind Divided,PC,Role-Playing,Square Enix,0,0.02,0,0,0.02
15418,RollerCoaster Tycoon World,PC,Simulation,Atari,0,0.02,0,0,0.02
15440,Resident Evil Zero,PC,Action,Capcom,0.01,0.01,0,0,0.02
15473,Agatha Christie: The ABC Murders,PC,Adventure,Microids,0,0.02,0,0,0.02
15661,Song of the Deep,PC,Action,Insomniac Games,0.02,0,0,0,0.02
15729,Revolution: 25th Anniversary Collection,PC,Adventure,Koch Media,0,0.02,0,0,0.02
16054,Battle Worlds: Kronos,PC,Strategy,Nordic Games,0,0.01,0,0,0.01
16247,Valentino Rossi: The Game,PC,Racing,Namco Bandai Games,0,0.01,0,0,0.01
16326,MXGP 2,PC,Racing,Milestone S.r.l.,0,0.01,0,0,0.01
16347,Cities: Skylines Snowfall,PC,Simulation,Paradox Development,0,0.01,0,0,0.01
16389,TrackMania Turbo,PC,Action,Ubisoft,0,0.01,0,0,0.01
16402,The Technomancer,PC,Role-Playing,Focus Home Interactive,0,0.01,0,0,0.01
16477,Total War Attila: Tyrants & Kings,PC,Strategy,Koch Media,0,0.01,0,0,0.01
16558,Codename: Panzers Complete Collection,PC,Strategy,Nordic Games,0,0.01,0,0,0.01
